prompt,completion
She called me in the afternoon.,sinpin pi tenpo pimeja la meli ni li toki tawa mi kepeken ilo toki.
Money is everything.,mani li ale.
Drink more water.,o moku e telo mute.
jan Ton en jan Mewi li musi e musi supa.,Tom and Mary played checkers.
Can I see the wine list?,mi wile lukin e lipu pi telo nasa.
Tell Tom I love him.,o toki e ni tawa jan Ton: mi olin e ona.
"Now listen, children.",jan lili o kute a!
musi pi mije lawa ma li pona tawa jan San.,John likes chess.
jan Ton li sona pona e lipu pi ma ale anu seme?,"Tom is good at geography, isn't he?"
moku Palata li pona ala pona tawa sina?,Do you like Indian food?
Trump is a narcissist.,jan Tona Tun li olin nasa e ona sama.
I did not have sexual relations with that woman.,mi unpa ala e meli ni.
kala li pona tawa mi.,I like fish.
Does he write letters in English?,ona li sitelen e lipu toki kepeken toki Inli anu seme?
Tom said that he didn't remember anything.,jan Ton li toki e ni: ona li awen ala sona e ijo.
sina ken ala toki tawa mi kepeken nasin ni.,You can't talk to me like that.
jan Ton li pali.,Tom is working.
I love this picture.,sitelen ni li pona mute tawa mi.
kulupu toki Kemani li pona mute tawa mi.,I'm crazy about Germanic languages.
jan lili li ike la ona li ike tawa mi.,I don't like bad children.
mije sama sina li seme?,Who is your brother?
You will be praised for speaking the truth.,sina toki e lon la jan ali li toki e ni: sina pona.
mi pana e ale tawa jan Ton.,I gave Tom everything.
The cat hid among the branches.,soweli suwi tomo li tawa weka tan lukin lon insa pi palisa kasi.
Where is the ice cream man?,seme la jan pi suwi lete li lon?
We need tools.,mi mute li wile e ilo.
"I'm not sure of the name, but the extension is 211.","mi sona ala e nimi. taso nanpa li tu, wan, wan."
jan Ton li wile kama jan sona sijelo.,Tom wants to be a doctor.
Tom apparently can't speak French.,lukin la jan Ton li ken ala toki lon toki Kanse.
ona li tawa tan ma tomo lawa pi ma Mesiko li tawa sin wan ma Tesaso.,He left the Mexican capital to return to Texas.
I love your son.,mi olin e jan lili mije sina.
tenpo ante la mi kama sin.,I'll come back some other time.
When can Tom do that?,tenpo seme la jan Ton li ken pali e ni?
I'm the only here who can do that.,mi wan taso li ken pali e ni.
tenpo ni la jan Ton li jo e ijo ante lon lawa ona.,Tom has other things on his mind right now.
All men are mortal.,jan ali li moli.
ona li lon supa lape li jo e lawa seli.,She is in bed with a fever.
I want to talk about girls.,mi wile toki meli.
I don't want to do this anymore.,mi wile ala awen pali e ni.
I was very exhausted.,mi kama wawa ala!
n...,Hmm...
"I was in the basement when the doorbell rang, so I didn't hear it.",mi kute ala e kalama pi lupa tawa tomo tan ni: kalama li kalama la mi lon tomo anpa.
mi sona pi pona mute e ona.,I know her very well.
Let's go into town.,mi mute o tawa ma tomo.
Will you pay?,sina pana ala pana e mani?
mi wile e telo moku.,I need something to drink.
ni li pini kin.,It had come to a full stop.
tomo pi sina mute li lon seme?,Where do you all live?
I've only had two or three drinks.,tenpo pini la mi moku taso e telo nasa tu anu tu wan.
jan lili li lon sinpin pi ona sama.,The girls are facing each other.
They want to be lawyers.,ona li wile kama jan toki pi nasin lawa.
Why can't we go to Boston?,tan seme la mi ken ala tawa ma tomo Pasen?
Tom got rich selling used cars.,jan Ton li kama jan pi mani mute tan ni: ona li pana e tomo tawa lon esun.
She is Argentinian.,ona li meli tan ma Alensina.
ma ni li ma mi li ma sina ala.,"This is my country, not yours."
We are men.,mi mute li mije.
What don't you like about her?,ona li ike tawa sina tan seme?
Can I dance here?,mi ken ala ken tawa musi lon ni?
My watch was stolen last night.,tenpo pimeja pini la jan li kama jo ike e ilo tenpo mi.
Could we meet again?,mi ken ala ken kama kulupu lon tenpo sin?
You're good.,sina pona.
Why are you peeling the apple?,sina weka e selo kili tan seme?
"Without water, nothing could live.",ale li lon ala poka ala telo.
This cake is very delicious.,pan suwi ni li pona tawa mi.
They broke their backs lifting Moloch to Heaven!,"tenpo pini la, ona mute li pakala e monsi sama, li tawa sewi e jan sewi Mola tawa ma sewi a!"
jan seme li kama li pana e pan suwi ni?,Who brought the cake?
He was obviously very sick.,sijelo pi mije ni li ike mute a!
"ilo tenpo tawa pini lape li kalama ala. tenpo suli li pini, la mi kama tan ni.",My alarm didn't go off. That's why I was late.
The river is shallow here.,ni la nasin telo li supa.
jan sama meli mi li pona lukin.,My sister is pretty.
sina kama wile e seme?,What did you decide?
jan ali li jan sama.,All men are brothers.
ni li suli nanpa wan: mi wile pana e pona tawa mi taso ala.,"Above all things, we must not be selfish."
ona li kama weka.,They vanished.
mije sina li pilin pona la ni li pona tawa kute mi.,It's good to hear that your husband is feeling well.
ilo tenpo lon tomo sewi li kalama luka tu tu.,The clock in the church tower struck nine.
telo lili li lon poki.,There is a little water in the bottle.
ale ni li suli ala.,None of this matters.
mi pilin wawa e ni: toki ni li lon.,I believe that story.
sina jo e nimi tawa jan lili sina anu seme?,Have you decided on a name for your baby?
Keep on working.,o awen pali.
mi wile mute lukin e sina. ni li suli.,I really need to see you. It's important.
ona mute li kama ala.,They're not coming.
tenpo ni la jan lili mi li lon ma Kabylie.,Our son lives in Kabylie now.
The cave-man spoke Toki Pona.,jan pi tomo kiwen li toki lon toki pona.
ona li awen ala pali e ni.,They stopped doing that.
Such work tempers a man's character.,pali ni li ike e pilin jan.
jan li sitelen e nimi mi lon ona.,It has my name on it.
soweli tawa li tawa lon nasin seme?,How does the knight move?
jan Ton li toki e ni: ona li wile ala moku.,Tom says he's not hungry.
Does that matter?,ni li pona ala pona?
sina pilin e ni anu seme: ken pi ike kama li lon?,Don't you think this is risky?
I remember your father-in-law; he was funny.,mi awen sona e mama mije pi meli sina. ona li musi.
He seemed to think we didn't like him.,tawa lukin la ona li pilin e ni: ona li pona ala tawa mi.
sina ken ala tawa ma ale.,You can't travel the earth.
Animals can't speak.,soweli li ken ala toki.
I don't want Tom to be in the room while I'm on the phone.,"mi wile ala e ni: mi toki kepeken ilo toki, la jan Ton li lon tomo sama."
o lukin e ale lon poka sina.,Pay attention to what's going on around you.
sina suli ala suli?,Are you tall?
Tom is quite tall.,jan Ton li suli kin.
mi jan lawa mi.,I'm free.
Monarchs get the guillotine.,jan lawa li kama lon ilo pi weka lawa.
ona li wile ala tawa poka jan ala.,She was afraid of travelling alone.
toki mute li pona mute. toki wan li pona lili.,One language is never enough.
sina moku e kala pipi lili lon tenpo seme?,When was the last time you ate shrimp?
mi ken pali e ijo. jan Ton li ken ala pali e ijo ni.,I can do things that Tom can't.
"mi jan pali ni: kulupu mama li kama tu, la mi wan sin e ona.",Reuniting families that were torn apart is what I do.
kasi kule lili li laso.,The little flower is blue.
ken la mi pona ala tawa jan Ton.,Maybe Tom doesn't like me.
"lon lape la, mi mute li ala e jan pi pali en toki ante.",We are not hypocrites in our sleep.
jan Ton li nasa lukin.,Tom looks crazy.
I know what would happen if you did that.,mi sona e ni: sina pali e ni la seme li tan ni.
I speak a little French.,mi toki lili lon toki Kanse.
mi lukin e ni.,I am looking at that.
Do you want me to go to Boston?,sina wile ala wile e ni: mi tawa ma tomo Pasen?
sina pali e seme?,What line of work are you in?
Isn't that blue?,ni li laso ala anu seme?
I know I'm replaceable.,mi sona e ni: jan li ken ante e mi.
Pray for Paris.,o toki e ni tawa sewi: sewi o pana e pona tawa ma tomo Paki.
mi kama lape.,I am dozing off.
Is it raining?,telo li kama ala kama tan sewi?
jan li moli.,Man is mortal.
Podgorica is the capital of Montenegro.,ma tomo Pokowisa li ma tomo lawa pi ma Monteneko.
How do you feel today?,tenpo suno ni la sina pilin seme?
jan Ton li sona e mute tan pali pi pana sona.,Tom has lots of teaching experience.
mi lukin e ona lon tenpo sin.,I saw him again.
tenpo li awen li pilin ala.,Time waits and time forgets.
"mije li tawa ma tomo Jeliko tan ma tomo Jelusalen. jan akesi mute li kama lon ona li pakala e ona li kama jo akesi e len ona e mani ona kepeken wawa li tawa. lili la ona li kama moli. jan pi pali sewi li kama kin lon nasin ni. jan ni li lukin e mije ni, li tawa, li pana ala e pona tawa ona. jan pi ma Lepi li kama kin, li pali e sama. taso jan pi ma Samalita li kama. jan ni li pilin ike tan mije ni, li pana e len lon pakala, li pana e telo pona lon mije ni. jan ni li pana e mije ni lon soweli, li tawa e mije ni tawa tomo pi awen lili, li pana e pona tawa ona.","A certain man was going down from Jerusalem to Jericho, and he fell among robbers, who both stripped him and beat him, and departed, leaving him half dead. By chance a certain priest was going down that way. When he saw him, he passed by on the other side. In the same way a Levite also, when he came to the place, and saw him, passed by on the other side. But a certain Samaritan, as he travelled, came where he was. When he saw him, he was moved with compassion, came to him, and bound up his wounds, pouring on oil and wine. He set him on his own animal, and brought him to an inn, and took care of him."
jan Ton li kama jo.,Tom won.
"How old are you? ""I'm 16 years old.""","tenpo pi mute seme la sina sike e suno? ""tenpo luka luka luka wan la mi sike e suno."""
jan Mewi li lon poka ala pi mije ona.,Mary isn't with her boyfriend.
pilin mi li ante ala.,My opinion hasn't changed.
sina sona e jan.,You know people.
sina sona ala sona e ni: ona li ken pali pona e telo wawa?,Did you know she is good at making coffee?
We do not have medicines at home.,mi jo ala e ijo pi pona sijelo lon tomo.
What is the meaning of this sentence?,linja nimi ni li toki e seme?
suwi li ike tawa sina. sina toki ala e ni tawa mi tan seme?,Why didn't you tell me you didn't like chocolate?
poki lape sina li ken jo e jan sin anu seme?,Is there a space in your sleeping bag?
o ken e ni: ona li lape.,Let her sleep.
I've already eaten dinner.,mi kama a moku lon open pi tenpo pimeja.
"sina kama sona e seme lon tomo sona? ""toki Lasina.""","What're you learning at school? ""Latin."""
ko suwi li lon ala poki.,There is no sugar in the bowl.
tenpo mi pi jan lili la mama mije li lukin tawa mi e sitelen musi pi pini pona.,Our father used to read us happy stories when we were small.
mi sona ala e ni: jan Ton li jo e meli.,I didn't know Tom was married.
His pictures were hung on the wall.,sitelen ona li lon selo pi insa tomo.
Children are not brought by storks.,waso suli li tawa ala li pana ala e jan lili tawa mama.
ona li jan powe.,He is a liar.
mi mute li tawa kepeken noka.,We walked.
Yanni and Skura ran outside.,jan Jani en jan Kula li tawa wawa tawa ma.
mi pilin e ni: ona li pali lon tomo pali ni.,I think she works in this office.
The grammar of Esperanto is very easy.,nasin nimi pi toki Epelanto li pona mute.
My brothers protect me.,jan sama mi li awen e mi.
mama mi li wile sona e sina.,My parents want to meet you.
mije mute li moli anu pakala.,Six hundred thousand men were killed or wounded.
Why don't I make potatoes more often? Because potatoes are a pain. They take forever.,mi seli e kili ma lon tenpo mute ala tan seme? tan ni: seli pi kili ma li ike. ona li wile e tenpo ale a.
Wash your hands first.,nanpa wan la o telo e luka sina.
toki Epelanto li pona a.,Esperanto is great.
Who turned the light off?,jan seme li pini e suno?
This neighborhood in Paris is very famous.,jan mute li sona e kipisi ni pi ma tomo Palisi.
He wants to squish the bug.,ona li wile pakala e pipi.
sina wile toki tawa jan Ton kepeken ilo toki.,You have to call Tom.
"seli li mute ike tawa sina, la o tawa weka tan tomo seli.","If you can't stand the heat, get out of the kitchen."
Bees help plants spread their pollen.,pipi li pana e ko pi kasi kule lon kon.
jan seme li toki e ni tawa sina: nimi mi li Ton?,Who told you my name was Tom?
jan Ton li musi.,Tom is humorous.
Mary is both able and willing.,jan Mewi li ken li wile.
He has perfect teeth.,kiwen uta ona li pona a.
kon sewi li lawa e ken ni: mi mute li moku lon ma.,Whether we eat outside or not depends on the weather.
Take off your hat.,o weka e len lawa tan lawa sina.
The prospects aren't very bright.,mi pilin e ni: tenpo kama li pona ala anu pona lili.
I don't want to do the dishes.,mi wile ala telo e ilo moku.
"When anyone tries to explain the inexplicable, he is getting ready to excuse the inexcusable.",jan li lukin pana e sona pi ijo pi sona ala la ona li wile weka e ike pi ijo pi ike ale.
Are airplane tickets expensive?,tawa pi tomo tawa kon li ijo pi mani mute anu seme?
jan Ton li toki e kon tawa jan Mewi.,Tom told Mary the secret.
Do you feel like eating?,sina wile ala wile moku?
Do you want to buy it or not?,sina wile ala wile kama jo e ijo lon esun?
jan pona sina li jan pi ma Kanata anu seme?,Is your friend Canadian?
"mama o, toki.",Hello parent!
These pictures are beautiful.,sitelen ni li pona lukin.
I am learning how to drive.,mi kama sona tawa ni: mi ken lawa e tomo tawa.
mi olin mute e ona.,I love her a lot.
sina sona e sitelen tawa Awata anu seme?,Do you know the movie Avatar?
I love French films.,sitelen tawa pi ma Kanse li pona mute tawa mi.
Tom translated a letter from French to English for his boss.,jan Ton li sitelen kepeken toki Inli e lipu toki lon toki Kanse tawa jan lawa ona.
Tatoeba is currently unavailable. We are sorry for the inconvenience. You can check our blog or Twitter for more information.,tenpo ni la sina ken ala lukin e lipu Tatojepa. ni li pakala ike pi mi mute. sina wile e sona namako la o tawa lipu pi mi mute anu lipu Tuwite.
Are we allowed back here?,mi ken lon sin lon ni anu seme?
This article is badly written.,toki sitelen ni li ike.
All men are equal.,jan ali li sama.
toki Inli li pona tawa mi. taso mi toki ike kepeken ona.,"I like English, but I cannot speak well."
Is their language difficult?,toki ona li ike ala ike?
Give me that soccer ball.,o pana e sike ni pi tawa wawa musi.
mi weka e supa lape lon tenpo kama pi suli mute. tan ni la mi ken ala tawa lon tomo tawa linja.,We got up too late and we missed the train.
"You don't really love me at all. You only care about your math stuff! ""Not at all, I do love you!"" ""Prove it!"" ""Okay. Let A be the set of the objects I love...""","sina olin ala e mi a! sona nanpa sina taso li pona tawa sina! ""ala a! mi olin kin e sina!"" ""o pana e ona tawa lukin mi!"" ""pona. o lukin e kulupu A pi ijo ale ni: mi olin e ona..."""
o lukin e ni.,Watch this.
o pini lape!,That's enough! Open your eyes and wake up now!
jan li pana e moku lon supa. moku ni li waso mani. taso waso ni li lete.,The chicken the waiter brought to the table was still raw.
Was he home alone?,ona li wan taso lon tomo anu seme?
ona li pona lukin.,He's handsome.
I consider him my enemy.,mi pilin e ni: ona li jan ike tawa mi.
I have a black eye.,mi jo e oko pimeja.
ona li jo e len lawa nasa.,She was wearing a strange hat.
sina ken kama ala tawa insa.,You don't need to come in.
